"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2009-01-01T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.8,"bereinigt"
"2009-01-01T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",977.62,"bereinigt"
"2009-01-01T07:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",88.75,"bereinigt"
"2009-01-01T07:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T07:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.15,"bereinigt"
"2009-01-01T07:00+0100","Zch_Schimmelstrasse","WD","h1","°",327.5,"bereinigt"
"2009-01-01T07:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.22,"bereinigt"
"2009-01-01T07:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",91.35,"bereinigt"
"2009-01-01T07:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.75,"bereinigt"
"2009-01-01T07:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.23,"bereinigt"
"2009-01-01T08:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",91.28,"bereinigt"
"2009-01-01T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.85,"bereinigt"
"2009-01-01T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",253.96,"bereinigt"
"2009-01-01T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.09,"bereinigt"
"2009-01-01T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",92.06,"bereinigt"
"2009-01-01T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.43,"bereinigt"
"2009-01-01T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.42,"bereinigt"
"2009-01-01T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",92.4,"bereinigt"
"2009-01-01T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.67,"bereinigt"
"2009-01-01T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",310.81,"bereinigt"
"2009-01-01T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.22,"bereinigt"
"2009-01-01T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",91.84,"bereinigt"
"2009-01-01T09:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",0.33,"bereinigt"
"2009-01-01T09:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",978.65,"bereinigt"
"2009-01-01T10:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",89.53,"bereinigt"
"2009-01-01T10:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-01T10:00+0100","Zch_Schimmelstrasse","T","h1","°C",1.2,"bereinigt"
"2009-01-01T10:00+0100","Zch_Schimmelstrasse","WD","h1","°",288.36,"bereinigt"
"2009-01-01T10:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.24,"bereinigt"
